timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1569224870019,13085,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-27,,true,,999,903,70,70,13085,27,46
1569224862090,21064,HTTPREQ Manaul Assign,200,OK,manual assign job 1-14,text,true,,999,903,70,70,21064,0,48
1569224862090,21064,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-14,,true,,999,903,70,70,21064,28,48
1569224870283,12893,HTTPREQ Manaul Assign,200,OK,manual assign job 1-19,text,true,,999,903,70,70,12892,0,51
1569224870283,12893,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-19,,true,,999,903,70,70,12892,24,51
1569224883084,142,JSR223 Sampler,200,OK,manual assign job 1-1,text,true,,320,0,70,70,0,0,0
1569224862154,21115,HTTPREQ Manaul Assign,200,OK,manual assign job 1-4,text,true,,999,902,70,70,21115,0,56
1569224862153,21115,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-4,,true,,999,902,70,70,21115,7,56
1569224883113,163,JSR223 Sampler,200,OK,manual assign job 1-32,text,true,,320,0,70,70,0,0,0
1569224883095,185,JSR223 Sampler,200,OK,manual assign job 1-47,text,true,,320,0,70,70,0,0,0
1569224883115,165,JSR223 Sampler,200,OK,manual assign job 1-34,text,true,,320,0,70,70,0,0,0
1569224883138,196,JSR223 Sampler,200,OK,manual assign job 1-20,text,true,,320,0,70,70,0,0,0
1569224883188,162,JSR223 Sampler,200,OK,manual assign job 1-14,text,true,,320,0,70,70,0,0,0
1569224883166,199,JSR223 Sampler,200,OK,manual assign job 1-27,text,true,,320,0,70,70,0,0,0
1569224883215,158,JSR223 Sampler,200,OK,manual assign job 1-19,text,true,,320,0,70,70,0,0,0
1569224883282,95,JSR223 Sampler,200,OK,manual assign job 1-4,text,true,,320,0,70,70,0,0,0
1569224871094,12434,HTTPREQ Manaul Assign,200,OK,manual assign job 1-63,text,true,,998,903,70,70,12434,0,48
1569224871093,12434,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-63,,true,,998,903,70,70,12434,5,48
1569224862103,21434,HTTPREQ Manaul Assign,200,OK,manual assign job 1-22,text,true,,999,903,70,70,21434,0,47
